source_type,participant,measure,error
human,PT_01,orientation error (degree),17.857158660888672
human,PT_01,orientation error (degree),25.76119804382324
human,PT_01,orientation error (degree),20.310089111328125
human,PT_01,orientation error (degree),20.26980972290039
human,PT_01,orientation error (degree),14.43326187133789
human,PT_01,orientation error (degree),20.28590965270996
human,PT_01,orientation error (degree),17.515045166015625
human,PT_01,orientation error (degree),18.67641830444336
human,PT_01,orientation error (degree),15.853857040405272
human,PT_01,orientation error (degree),18.95502471923828
human,PT_01,orientation error (degree),22.031064987182617
human,PT_01,orientation error (degree),18.65387916564941
human,PT_01,orientation error (degree),24.127870559692383
human,PT_01,orientation error (degree),19.90701103210449
human,PT_01,orientation error (degree),22.47559356689453
human,PT_01,orientation error (degree),25.69976043701172
human,PT_01,orientation error (degree),17.097536087036133
human,PT_01,orientation error (degree),17.442546844482422
human,PT_01,orientation error (degree),18.87740707397461
human,PT_01,orientation error (degree),19.23192024230957
human,PT_01,orientation error (degree),14.168169021606444
human,PT_01,orientation error (degree),14.3838529586792
human,PT_01,orientation error (degree),17.157257080078125
human,PT_01,orientation error (degree),16.82819175720215
human,PT_01,orientation error (degree),15.463311195373535
human,PT_01,orientation error (degree),17.798038482666016
human,PT_01,orientation error (degree),19.622907638549805
human,PT_01,orientation error (degree),16.61332130432129
human,PT_01,orientation error (degree),15.342446327209473
human,PT_01,orientation error (degree),13.919719696044922
human,PT_01,orientation error (degree),15.40031909942627
human,PT_01,orientation error (degree),14.90865993499756
human,PT_01,orientation error (degree),15.921148300170898
human,PT_01,orientation error (degree),14.37978458404541
human,PT_01,orientation error (degree),11.641157150268556
human,PT_01,orientation error (degree),18.83949851989746
human,PT_01,orientation error (degree),19.86076164245605
human,PT_01,orientation error (degree),17.61052131652832
human,PT_01,orientation error (degree),13.692606925964355
human,PT_01,orientation error (degree),19.655685424804688
human,PT_01,orientation error (degree),16.156911849975586
human,PT_01,orientation error (degree),19.94540977478028
human,PT_01,orientation error (degree),18.57324981689453
human,PT_01,orientation error (degree),11.909446716308594
human,PT_01,orientation error (degree),17.009521484375
human,PT_01,orientation error (degree),22.86511993408203
human,PT_01,orientation error (degree),18.73132705688477
human,PT_01,orientation error (degree),21.35632705688477
human,PT_01,orientation error (degree),19.40380477905273
human,PT_01,orientation error (degree),17.518674850463867
human,PT_01,orientation error (degree),15.762191772460938
human,PT_01,orientation error (degree),21.06761741638184
human,PT_01,orientation error (degree),15.885004997253418
human,PT_01,orientation error (degree),21.62292861938477
human,PT_01,orientation error (degree),18.796875
human,PT_01,orientation error (degree),15.67149543762207
human,PT_01,orientation error (degree),16.175556182861328
human,PT_01,orientation error (degree),15.838072776794434
human,PT_01,orientation error (degree),17.054901123046875
human,PT_01,orientation error (degree),18.51743698120117
human,PT_01,orientation error (degree),17.75031280517578
human,PT_01,orientation error (degree),16.931596755981445
human,PT_01,orientation error (degree),22.64225578308105
human,PT_01,orientation error (degree),11.003851890563965
human,PT_01,orientation error (degree),17.16697883605957
human,PT_01,orientation error (degree),13.723187446594238
human,PT_01,orientation error (degree),18.845102310180664
human,PT_01,orientation error (degree),18.68874168395996
human,PT_01,orientation error (degree),17.686464309692383
human,PT_01,orientation error (degree),18.200439453125
human,PT_01,orientation error (degree),17.59337615966797
human,PT_01,orientation error (degree),14.335880279541016
human,PT_01,orientation error (degree),19.83026123046875
human,PT_01,orientation error (degree),20.76279067993164
human,PT_01,orientation error (degree),13.09055233001709
human,PT_01,orientation error (degree),14.651041030883787
human,PT_01,orientation error (degree),14.833102226257324
human,PT_01,orientation error (degree),14.725467681884766
human,PT_01,orientation error (degree),15.157925605773926
human,PT_01,orientation error (degree),16.21109390258789
human,PT_01,orientation error (degree),18.543720245361328
human,PT_01,orientation error (degree),17.944622039794922
human,PT_01,orientation error (degree),16.788061141967773
human,PT_01,orientation error (degree),17.907384872436523
human,PT_01,orientation error (degree),17.3785400390625
human,PT_01,orientation error (degree),16.523958206176758
human,PT_01,orientation error (degree),20.54706382751465
human,PT_01,orientation error (degree),16.811552047729492
human,PT_01,orientation error (degree),18.277019500732425
human,PT_01,orientation error (degree),18.219127655029297
human,PT_01,orientation error (degree),16.903430938720703
human,PT_01,orientation error (degree),9.307637214660645
human,PT_01,orientation error (degree),6.218989849090576
human,PT_01,orientation error (degree),6.823001384735107
human,PT_01,orientation error (degree),7.315821647644043
human,PT_01,orientation error (degree),7.546236038208008
human,PT_01,orientation error (degree),5.8056254386901855
human,PT_01,orientation error (degree),5.240225791931152
human,PT_01,orientation error (degree),6.57372522354126
human,PT_01,orientation error (degree),10.394721031188965
human,PT_01,orientation error (degree),7.091741561889648
human,PT_01,orientation error (degree),8.146326065063477
human,PT_01,orientation error (degree),8.00704574584961
human,PT_01,orientation error (degree),7.107656002044678
human,PT_01,orientation error (degree),8.788228034973145
