condition,measure,observed,estimated
simultaneous contact,force (N),8.788628578,7.891877174
simultaneous contact,force (N),9.13509655,7.804189205
simultaneous contact,force (N),8.797158241,7.482701302
simultaneous contact,force (N),8.668910027,7.500450611
simultaneous contact,force (N),8.465223312,7.476984978
simultaneous contact,force (N),8.262565613,7.396632671
simultaneous contact,force (N),8.341462135,8.10319519
simultaneous contact,force (N),7.92275238,7.85366869
simultaneous contact,force (N),7.502666473,8.049269676
simultaneous contact,force (N),7.163797855,7.8723526
simultaneous contact,force (N),7.080960751,7.794814587
simultaneous contact,force (N),6.743144512,7.733826637
simultaneous contact,force (N),6.40780735,7.37619257
simultaneous contact,force (N),6.385138512,7.190973759
simultaneous contact,force (N),5.911006451,7.1819067
simultaneous contact,force (N),5.769748688,7.151114464
simultaneous contact,force (N),5.547972679,6.919586658
simultaneous contact,force (N),5.550675869,6.600502491
simultaneous contact,force (N),5.190375805,6.210634232
simultaneous contact,force (N),5.190375805,5.859495163
simultaneous contact,force (N),4.827007294,5.519814491
simultaneous contact,force (N),4.608687401,5.324669361
simultaneous contact,force (N),4.428318024,5.250867367
simultaneous contact,force (N),4.366920948,5.08476162
simultaneous contact,force (N),4.138840675,4.876495838
simultaneous contact,force (N),4.007493019,4.740989685
simultaneous contact,force (N),3.863935709,4.527370453
simultaneous contact,force (N),3.785498857,4.3781991
simultaneous contact,force (N),3.563705921,4.154117584
simultaneous contact,force (N),3.374907255,3.987154722
simultaneous contact,force (N),3.23882699,3.92364192
simultaneous contact,force (N),3.090307474,3.807829142
simultaneous contact,force (N),3.190611362,3.794017792
simultaneous contact,force (N),3.008321762,3.773571014
simultaneous contact,force (N),3.067572355,3.761695147
simultaneous contact,force (N),2.833725691,3.670887232
simultaneous contact,force (N),2.736786366,3.608438969
simultaneous contact,force (N),2.596151114,3.576186895
simultaneous contact,force (N),2.611512899,3.531307936
simultaneous contact,force (N),2.523885965,3.530470371
simultaneous contact,force (N),2.379075289,3.507055521
simultaneous contact,force (N),2.389560461,3.486935139
simultaneous contact,force (N),2.345207691,3.479937792
simultaneous contact,force (N),2.123676062,3.472734451
simultaneous contact,force (N),2.302172899,3.467634201
simultaneous contact,force (N),2.123676062,3.451985598
simultaneous contact,force (N),2.022374868,3.42205739
simultaneous contact,force (N),1.799999952,3.43912816
simultaneous contact,force (N),1.799999952,3.436070681
simultaneous contact,force (N),1.726267695,3.439391136
simultaneous contact,force (N),1.774823785,3.434488058
simultaneous contact,force (N),1.760681629,3.425114393
simultaneous contact,force (N),1.615549445,3.428748131
simultaneous contact,force (N),1.732050896,3.397412777
simultaneous contact,force (N),1.445683241,3.405982018
simultaneous contact,force (N),1.374772668,3.420316935
simultaneous contact,force (N),1.435269952,3.424652338
simultaneous contact,force (N),1.240967393,3.443511724
simultaneous contact,force (N),1.360146999,3.501356125
simultaneous contact,force (N),1.256980538,3.460570335
simultaneous contact,force (N),1.374772668,3.439630985
simultaneous contact,force (N),1.503329635,3.441727877
simultaneous contact,force (N),1.969771385,3.461447716
simultaneous contact,force (N),2.022374868,3.437437773
